City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,palmares do sul,BR,70.32,few clouds,-30.2578,-50.5097,Hotel Campos Dourados.
8,codrington,AU,83.23,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
13,natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
14,port alfred,ZA,73.96,overcast clouds,-33.5906,26.891,The Halyards Hotel
15,saint-philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,hithadhoo,MV,82.31,scattered clouds,-0.6,73.0833,Scoop Guest House
20,kedougou,SN,75.78,clear sky,12.5579,-12.1743,Relais de Kédougou
22,ugoofaaru,MV,80.44,broken clouds,5.6667,73.0,Ungoofaaru Inn
24,cartagena del chaira,CO,74.34,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
25,kalmunai,LK,75.16,scattered clouds,7.4167,81.8167,VS Villa
29,carutapera,BR,75.85,overcast clouds,-1.195,-46.02,Lidera
38,campoverde,PE,80.29,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
41,agnibilekrou,CI,72.05,few clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
49,vila velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
54,kattivakkam,IN,77.07,broken clouds,13.2167,80.3167,Euronova Freezer
55,bambous virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
59,east london,ZA,71.08,overcast clouds,-33.0153,27.9116,Tu Casa
62,axim,GH,78.19,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
63,sinnamary,GF,77.11,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
68,micheweni,TZ,78.94,overcast clouds,-4.9667,39.8333,
72,georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
74,bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
75,arraial do cabo,BR,75.79,clear sky,-22.9661,-42.0278,Pousada Porto Praia
