City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2022-02-05 21:40:20,65.6145,-37.6368,19.56,59,97,10.22
1,Svetlogorsk,BY,2022-02-05 21:36:58,52.6333,29.7333,31.98,87,100,14.54
2,Okakarara,NA,2022-02-05 21:40:20,-20.5833,17.4333,66.33,88,100,3.38
3,Arraial Do Cabo,BR,2022-02-05 21:40:21,-22.9661,-42.0278,80.56,78,0,16.11
4,Albany,US,2022-02-05 21:34:33,42.6001,-73.9662,19.35,54,3,5.01
5,Hobart,AU,2022-02-05 21:40:18,-42.8794,147.3294,62.02,78,75,5.75
6,Bluff,NZ,2022-02-05 21:39:39,-46.6,168.3333,54.81,65,62,12.5
7,Samana,DO,2022-02-05 21:40:22,19.2056,-69.3369,78.76,94,75,6.91
8,Hasaki,JP,2022-02-05 21:38:17,35.7333,140.8333,19.8,44,18,12.91
9,Midleton,IE,2022-02-05 21:35:41,51.9153,-8.1805,50.05,93,100,25.46
10,Cidreira,BR,2022-02-05 21:40:23,-30.1811,-50.2056,74.91,89,100,3.87
11,Kutum,SD,2022-02-05 21:40:23,14.2,24.6667,52.9,22,48,11.72
12,Rikitea,PF,2022-02-05 21:40:23,-23.1203,-134.9692,79.09,73,96,10.54
13,Punta Arenas,CL,2022-02-05 21:40:24,-53.15,-70.9167,59.11,72,75,23.02
14,Geraldton,AU,2022-02-05 21:40:24,-28.7667,114.6,73.81,88,100,5.75
15,Frontera,MX,2022-02-05 21:40:24,26.9333,-101.45,54.32,62,0,6.91
16,Dunedin,NZ,2022-02-05 21:40:25,-45.8742,170.5036,53.8,83,58,5.01
17,Ribeira Grande,PT,2022-02-05 21:39:16,38.5167,-28.7,61.2,77,40,17.27
18,Georgetown,MY,2022-02-05 21:39:35,5.4112,100.3354,79.9,89,20,1.99
19,Slavuta,UA,2022-02-05 21:40:26,50.3016,26.8651,32.25,92,100,13.2
20,Katsuura,JP,2022-02-05 21:40:26,35.1333,140.3,33.91,56,8,11.81
21,Mount Gambier,AU,2022-02-05 21:40:26,-37.8333,140.7667,60.71,77,62,6.91
22,Mar Del Plata,AR,2022-02-05 21:40:12,-38.0023,-57.5575,63.09,88,100,5.01
23,Dikson,RU,2022-02-05 21:40:27,73.5069,80.5464,-19.23,100,99,3.18
24,Muros,ES,2022-02-05 21:40:27,42.7762,-9.0603,51.24,72,0,11.81
25,Vega De Alatorre,MX,2022-02-05 21:40:28,20.0333,-96.6333,57.99,56,89,13.22
26,Severo-Kurilsk,RU,2022-02-05 21:40:28,50.6789,156.125,28.36,82,99,7.9
